BLE,1657243020037725481,C0:F8:BB:9D:12:93,-42
BLE,1657243020088519360,C0:F8:BB:9D:12:93,-55
BLE,1657243020107500789,DF:A6:DC:DC:2E:81,-27
BLE,1657243020137725650,C0:F8:BB:9D:12:93,-49
BLE,1657243020167093541,6B:4A:0A:7E:DE:02,-79
BLE,1657243020171144595,C8:69:CD:61:6F:2C,-81
BLE,1657243020189378531,C0:F8:BB:9D:12:93,-42
BLE,1657243020212898823,DF:A6:DC:DC:2E:81,-23
BLE,1657243020215724993,2F:27:05:CD:6C:AF,-71
BLE,1657243020240219441,C0:F8:BB:9D:12:93,-42
BLE,1657243020265748984,F0:3F:B0:47:E5:DB,-77
BLE,1657243020288212566,C0:F8:BB:9D:12:93,-54
BLE,1657243020305929216,8C:EA:48:4C:F1:01,-83
BLE,1657243020316316875,2F:27:05:CD:6C:AF,-68
BLE,1657243020339434202,C0:F8:BB:9D:12:93,-49
BLE,1657243020374497245,44:CD:09:2B:2A:2F,-70
BLE,1657243020385803697,C0:F8:BB:9D:12:93,-50
BLE,1657243020416367513,6A:7A:52:E8:EF:52,-84
BLE,1657243020430488521,DF:A6:DC:DC:2E:81,-28
BLE,1657243020436973093,C0:F8:BB:9D:12:93,-40
BLE,1657243020499376963,48:93:BC:90:14:05,-82
BLE,1657243020530686658,2F:27:05:CD:6C:AF,-74
BLE,1657243020535203905,C0:0A:1A:10:3D:56,-82
BLE,1657243020538141324,C0:F8:BB:9D:12:93,-55
BLE,1657243020549247830,3E:24:A5:C3:26:07,-79
BLE,1657243020588594113,C0:F8:BB:9D:12:93,-49
BLE,1657243020594814834,D0:03:DF:C9:BE:CF,-59
BLE,1657243020626817959,66:37:09:C2:27:51,-78
BLE,1657243020631316248,2F:27:05:CD:6C:AF,-69
BLE,1657243020638594719,44:CD:09:2B:2A:2F,-67
BLE,1657243020640226578,C0:F8:BB:9D:12:93,-40
BLE,1657243020654977059,90:DD:5D:B3:CD:3C,-77
BLE,1657243020687687260,C0:F8:BB:9D:12:93,-41
BLE,1657243020736895269,C0:F8:BB:9D:12:93,-54
BLE,1657243020754822542,D0:03:DF:C9:BE:CF,-58
BLE,1657243020756904241,DF:A6:DC:DC:2E:81,-20
BLE,1657243020787033269,C0:F8:BB:9D:12:93,-54
BLE,1657243020836845700,C0:F8:BB:9D:12:93,-49
BLE,1657243020843186784,2F:27:05:CD:6C:AF,-71
BLE,1657243020859503916,DF:A6:DC:DC:2E:81,-28
BLE,1657243020888317853,C0:F8:BB:9D:12:93,-40
BLE,1657243020898140466,66:37:09:C2:27:51,-77
BLE,1657243020944161735,2F:27:05:CD:6C:AF,-80
BLE,1657243021039594502,C0:F8:BB:9D:12:93,-49
BLE,1657243021046991252,48:93:BC:90:14:05,-82
BLE,1657243021062156782,DF:A6:DC:DC:2E:81,-27
BLE,1657243021076977731,F0:3F:B0:47:E5:DB,-79
